ID,filename,listno,runno,onset,length,item,category,displayed,response,RT,question onset,para,counter,listcheck,runcheck
168_FED_20161228b_3T2,Outputs_used/FED_20161228b_3T2_run1_data.csv,1.0,1.0,0.0000,8.0,125.0,joke,I know one couple who got divorced and had to leave the house to the attorney.,NA,NA,6.00860595703125,2.0,2.0,True,True
168_FED_20161228b_3T2,Outputs_used/FED_20161228b_3T2_run1_data.csv,1.0,1.0,8.0000,8.0,150.0,nonjoke,One way to keep pornography away from teenagers is to put it in a cabinet.,1,1.9335579872131348,14.009654998779295,2.0,2.0,True,True
168_FED_20161228b_3T2,Outputs_used/FED_20161228b_3T2_run1_data.csv,1.0,1.0,20.0000,8.0,123.0,joke,Too many girls believe that the chief foundation for true love is a large stone.,2,0.9167749881744385,26.011188983917236,2.0,2.0,True,True
168_FED_20161228b_3T2,Outputs_used/FED_20161228b_3T2_run1_data.csv,1.0,1.0,32.0000,8.0,17.0,joke,A committee keeps minutes and takes hours.,3,1.0669059753417969,38.01265096664429,2.0,2.0,True,True
168_FED_20161228b_3T2,Outputs_used/FED_20161228b_3T2_run1_data.csv,1.0,1.0,40.0000,8.0,104.0,nonjoke,Politicians who are as American as apple pie still want their rewards.,1,1.233483076095581,46.01370406150818,2.0,2.0,True,True
168_FED_20161228b_3T2,Outputs_used/FED_20161228b_3T2_run1_data.csv,1.0,1.0,50.0000,8.0,11.0,joke,"He owns stock in a company that pays quarterly dividends, so every three months they send him a quarter.",2,1.566828966140747,56.01498413085938,2.0,2.0,True,True
168_FED_20161228b_3T2,Outputs_used/FED_20161228b_3T2_run1_data.csv,1.0,1.0,62.0000,8.0,133.0,joke,He likes to make things around the house; this week it's the maid.,1,0.9334840774536133,68.01650595664978,2.0,2.0,True,True
168_FED_20161228b_3T2,Outputs_used/FED_20161228b_3T2_run1_data.csv,1.0,1.0,70.0000,8.0,55.0,joke,His wife sued for divorce and asked for custody of the cash.,2,1.6503019332885742,76.00079512596129,2.0,2.0,True,True
168_FED_20161228b_3T2,Outputs_used/FED_20161228b_3T2_run1_data.csv,1.0,1.0,78.0000,8.0,56.0,nonjoke,"When you own an ice cream business, your favorite flavor is everything.",1,0.5334110260009766,84.00182509422301,2.0,2.0,True,True
168_FED_20161228b_3T2,Outputs_used/FED_20161228b_3T2_run1_data.csv,1.0,1.0,88.0000,8.0,88.0,nonjoke,The wind was so strong it blew out three streetlights.,2,1.0168159008026123,94.0030620098114,2.0,2.0,True,True
168_FED_20161228b_3T2,Outputs_used/FED_20161228b_3T2_run1_data.csv,1.0,1.0,96.0000,8.0,101.0,joke,"I got a car for my wife, and I thought it was a good trade.",3,0.8668599128723145,102.00401902198792,2.0,2.0,True,True
168_FED_20161228b_3T2,Outputs_used/FED_20161228b_3T2_run1_data.csv,1.0,1.0,106.0000,8.0,8.0,nonjoke,Last Thanksgiving my wife spent all morning in the kitchen stuffing the bird.,1,1.1834850311279297,112.00534796714784,2.0,2.0,True,True
