"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast"
"1","1885","188","1.000000","-0.262522","1","1"
"2","3322","332","1.000000","1.140104","1","1"
"3","1525","152","1.000000","-0.640076","1","1"
"4","4182","418","1.000000","-0.405816","1","1"
"5","3419","341","1.000000","-0.389567","1","1"
"6","1313","131","1.000000","-0.357539","1","1"
"7","4051","405","1.000000","0.287134","1","1"
"1","1885","188","1.000000","0.171942","1","2"
"2","3322","332","1.000000","1.892336","1","2"
"3","1525","152","1.000000","-0.430053","1","2"
"4","4182","418","1.000000","0.076867","1","2"
"5","3419","341","1.000000","-0.040093","1","2"
"6","1313","131","1.000000","-0.081018","1","2"
"7","4051","405","1.000000","0.702145","1","2"
"1","1885","188","1.000000","0.073609","1","3"
"2","3322","332","1.000000","1.705651","1","3"
"3","1525","152","1.000000","-0.669356","1","3"
"4","4182","418","1.000000","0.025713","1","3"
"5","3419","341","1.000000","-0.158915","1","3"
"6","1313","131","1.000000","-0.004190","1","3"
"7","4051","405","1.000000","0.592849","1","3"
"1","1885","188","1.000000","0.057822","1","4"
"2","3322","332","1.000000","1.194210","1","4"
"3","1525","152","1.000000","-0.283693","1","4"
"4","4182","418","1.000000","0.319771","1","4"
"5","3419","341","1.000000","-0.212596","1","4"
"6","1313","131","1.000000","-0.219512","1","4"
"7","4051","405","1.000000","0.894777","1","4"
"1","1885","188","1.000000","0.336131","1","5"
"2","3322","332","1.000000","0.565547","1","5"
"3","1525","152","1.000000","-0.029280","1","5"
"4","4182","418","1.000000","0.431528","1","5"
"5","3419","341","1.000000","0.230652","1","5"
"6","1313","131","1.000000","0.353349","1","5"
"7","4051","405","1.000000","0.305715","1","5"
"1","1885","188","1.000000","0.427218","2","1"
"2","3322","332","1.000000","1.512916","2","1"
"3","1525","152","1.000000","-1.787298","2","1"
"4","4182","418","1.000000","-0.456447","2","1"
"5","3419","341","1.000000","-0.237070","2","1"
"6","1313","131","1.000000","0.756659","2","1"
"7","4051","405","1.000000","-0.156010","2","1"
"1","1885","188","1.000000","2.310562","2","2"
"2","3322","332","1.000000","2.140834","2","2"
"3","1525","152","1.000000","1.523582","2","2"
"4","4182","418","1.000000","0.431045","2","2"
"5","3419","341","1.000000","0.632064","2","2"
"6","1313","131","1.000000","2.207142","2","2"
"7","4051","405","1.000000","0.516756","2","2"
"1","1885","188","1.000000","1.570404","2","3"
"2","3322","332","1.000000","2.041237","2","3"
"3","1525","152","1.000000","0.446156","2","3"
"4","4182","418","1.000000","0.257082","2","3"
"5","3419","341","1.000000","0.964614","2","3"
"6","1313","131","1.000000","1.601906","2","3"
"7","4051","405","1.000000","0.539052","2","3"
"1","1885","188","1.000000","1.032360","2","4"
"2","3322","332","1.000000","1.970843","2","4"
"3","1525","152","1.000000","0.263636","2","4"
"4","4182","418","1.000000","0.454595","2","4"
"5","3419","341","1.000000","3.047375","2","4"
"6","1313","131","1.000000","0.983032","2","4"
"7","4051","405","1.000000","1.446509","2","4"
"1","1885","188","1.000000","1.143186","2","5"
"2","3322","332","1.000000","0.528322","2","5"
"3","1525","152","1.000000","2.233454","2","5"
"4","4182","418","1.000000","0.713530","2","5"
"5","3419","341","1.000000","1.201685","2","5"
"6","1313","131","1.000000","0.845247","2","5"
"7","4051","405","1.000000","0.695062","2","5"
"1","1885","188","1.000000","-0.406071","3","1"
"2","3322","332","1.000000","-0.922187","3","1"
"3","1525","152","1.000000","-1.537232","3","1"
"4","4182","418","1.000000","-0.860510","3","1"
"5","3419","341","1.000000","-1.493747","3","1"
"6","1313","131","1.000000","-1.208076","3","1"
"7","4051","405","1.000000","-0.375913","3","1"
"1","1885","188","1.000000","-0.631473","3","2"
"2","3322","332","1.000000","-0.430326","3","2"
"3","1525","152","1.000000","-1.471530","3","2"
"4","4182","418","1.000000","-0.651544","3","2"
"5","3419","341","1.000000","-1.198408","3","2"
"6","1313","131","1.000000","-1.081721","3","2"
"7","4051","405","1.000000","-0.361402","3","2"
"1","1885","188","1.000000","1.095907","3","3"
"2","3322","332","1.000000","0.448289","3","3"
"3","1525","152","1.000000","0.500093","3","3"
"4","4182","418","1.000000","-0.252806","3","3"
"5","3419","341","1.000000","-0.514676","3","3"
"6","1313","131","1.000000","0.277333","3","3"
"7","4051","405","1.000000","0.701283","3","3"
"1","1885","188","1.000000","-0.708893","3","4"
"2","3322","332","1.000000","-1.380945","3","4"
"3","1525","152","1.000000","-0.876014","3","4"
"4","4182","418","1.000000","-0.82802","3","4"
"5","3419","341","1.000000","-1.284602","3","4"
"6","1313","131","1.000000","-0.390976","3","4"
"7","4051","405","1.000000","-0.219251","3","4"
"1","1885","188","1.000000","1.501978","3","5"
"2","3322","332","1.000000","1.370476","3","5"
"3","1525","152","1.000000","2.037326","3","5"
"4","4182","418","1.000000","0.607704","3","5"
"5","3419","341","1.000000","0.979071","3","5"
"6","1313","131","1.000000","1.48541","3","5"
"7","4051","405","1.000000","1.077196","3","5"
"1","1885","188","1.000000","-0.707185","4","1"
"2","3322","332","1.000000","-0.089444","4","1"
"3","1525","152","1.000000","-0.868243","4","1"
"4","4182","418","1.000000","0.118292","4","1"
"5","3419","341","1.000000","-0.187973","4","1"
"6","1313","131","1.000000","-0.540052","4","1"
"7","4051","405","1.000000","0.210631","4","1"
"1","1885","188","1.000000","-0.086055","4","2"
"2","3322","332","1.000000","0.12828","4","2"
"3","1525","152","1.000000","-0.775766","4","2"
"4","4182","418","1.000000","0.136979","4","2"
"5","3419","341","1.000000","-0.01335","4","2"
"6","1313","131","1.000000","-0.791381","4","2"
"7","4051","405","1.000000","0.129064","4","2"
"1","1885","188","1.000000","-0.357613","4","3"
"2","3322","332","1.000000","0.042363","4","3"
"3","1525","152","1.000000","-0.936623","4","3"
"4","4182","418","1.000000","0.304544","4","3"
"5","3419","341","1.000000","-0.599152","4","3"
"6","1313","131","1.000000","-0.997729","4","3"
"7","4051","405","1.000000","-0.149342","4","3"
"1","1885","188","1.000000","0.124428","4","4"
"2","3322","332","1.000000","-0.025879","4","4"
"3","1525","152","1.000000","-0.142962","4","4"
"4","4182","418","1.000000","-0.277637","4","4"
"5","3419","341","1.000000","0.361397","4","4"
"6","1313","131","1.000000","-0.147453","4","4"
"7","4051","405","1.000000","1.004042","4","4"
"1","1885","188","1.000000","0.349572","4","5"
"2","3322","332","1.000000","0.131807","4","5"
"3","1525","152","1.000000","-0.06838","4","5"
"4","4182","418","1.000000","0.186252","4","5"
"5","3419","341","1.000000","-0.411179","4","5"
"6","1313","131","1.000000","-0.457677","4","5"
"7","4051","405","1.000000","-0.359973","4","5"
"1","1885","188","1.000000","0.507073","5","1"
"2","3322","332","1.000000","0.884217","5","1"
"3","1525","152","1.000000","-0.776253","5","1"
"4","4182","418","1.000000","-0.645697","5","1"
"5","3419","341","1.000000","-0.703395","5","1"
"6","1313","131","1.000000","-1.143858","5","1"
"7","4051","405","1.000000","0.379626","5","1"
"1","1885","188","1.000000","0.694347","5","2"
"2","3322","332","1.000000","1.201388","5","2"
"3","1525","152","1.000000","-0.330754","5","2"
"4","4182","418","1.000000","-0.273098","5","2"
"5","3419","341","1.000000","-0.327882","5","2"
"6","1313","131","1.000000","-0.721556","5","2"
"7","4051","405","1.000000","0.479433","5","2"
"1","1885","188","1.000000","1.399496","5","3"
"2","3322","332","1.000000","1.646491","5","3"
"3","1525","152","1.000000","1.338284","5","3"
"4","4182","418","1.000000","0.162324","5","3"
"5","3419","341","1.000000","-0.090981","5","3"
"6","1313","131","1.000000","-0.257793","5","3"
"7","4051","405","1.000000","0.514264","5","3"
"1","1885","188","1.000000","1.875343","5","4"
"2","3322","332","1.000000","1.735045","5","4"
"3","1525","152","1.000000","0.709793","5","4"
"4","4182","418","1.000000","0.258485","5","4"
"5","3419","341","1.000000","0.006487","5","4"
"6","1313","131","1.000000","-0.530273","5","4"
"7","4051","405","1.000000","0.541212","5","4"
"1","1885","188","1.000000","0.892422","5","5"
"2","3322","332","1.000000","0.762274","5","5"
"3","1525","152","1.000000","2.114537","5","5"
"4","4182","418","1.000000","0.808021","5","5"
"5","3419","341","1.000000","0.612413","5","5"
"6","1313","131","1.000000","0.886065","5","5"
"7","4051","405","1.000000","0.134637","5","5"
"1","1885","188","1.000000","-0.229358","6","1"
"2","3322","332","1.000000","0.342448","6","1"
"3","1525","152","1.000000","-0.785083","6","1"
"4","4182","418","1.000000","-0.638371","6","1"
"5","3419","341","1.000000","-0.329988","6","1"
"6","1313","131","1.000000","-0.263751","6","1"
"7","4051","405","1.000000","0.099383","6","1"
"1","1885","188","1.000000","0.571571","6","2"
"2","3322","332","1.000000","0.674688","6","2"
"3","1525","152","1.000000","0.207348","6","2"
"4","4182","418","1.000000","-0.243677","6","2"
"5","3419","341","1.000000","0.21898","6","2"
"6","1313","131","1.000000","0.058087","6","2"
"7","4051","405","1.000000","0.259414","6","2"
"1","1885","188","1.000000","0.084219","6","3"
"2","3322","332","1.000000","0.539379","6","3"
"3","1525","152","1.000000","-0.355784","6","3"
"4","4182","418","1.000000","-0.385857","6","3"
"5","3419","341","1.000000","-0.099078","6","3"
"6","1313","131","1.000000","0.043719","6","3"
"7","4051","405","1.000000","0.200616","6","3"
"1","1885","188","1.000000","0.304134","6","4"
"2","3322","332","1.000000","0.652749","6","4"
"3","1525","152","1.000000","-0.341189","6","4"
"4","4182","418","1.000000","-0.337139","6","4"
"5","3419","341","1.000000","-0.127333","6","4"
"6","1313","131","1.000000","0.042616","6","4"
"7","4051","405","1.000000","0.193663","6","4"
"1","1885","188","1.000000","0.313577","6","5"
"2","3322","332","1.000000","0.196931","6","5"
