"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast"
"1","1885","188","1.000000","0.143173","1","1"
"2","3322","332","1.000000","1.811841","1","1"
"3","1525","152","1.000000","-0.477684","1","1"
"4","4182","418","1.000000","-0.003133","1","1"
"5","3419","341","1.000000","-0.119379","1","1"
"6","1313","131","1.000000","-0.097391","1","1"
"7","4051","405","1.000000","0.664526","1","1"
"1","1885","188","1.000000","-0.250741","1","2"
"2","3322","332","1.000000","1.263500","1","2"
"3","1525","152","1.000000","-0.646597","1","2"
"4","4182","418","1.000000","-0.400983","1","2"
"5","3419","341","1.000000","-0.359072","1","2"
"6","1313","131","1.000000","-0.374298","1","2"
"7","4051","405","1.000000","0.356449","1","2"
"1","1885","188","1.000000","0.393914","1","3"
"2","3322","332","1.000000","0.548340","1","3"
"3","1525","152","1.000000","0.168913","1","3"
"4","4182","418","1.000000","0.397851","1","3"
"5","3419","341","1.000000","0.239692","1","3"
"6","1313","131","1.000000","0.276908","1","3"
"7","4051","405","1.000000","0.308076","1","3"
"1","1885","188","1.000000","1.906136","2","1"
"2","3322","332","1.000000","2.220662","2","1"
"3","1525","152","1.000000","0.710509","2","1"
"4","4182","418","1.000000","0.327062","2","1"
"5","3419","341","1.000000","0.911246","2","1"
"6","1313","131","1.000000","1.746003","2","1"
"7","4051","405","1.000000","0.667731","2","1"
"1","1885","188","1.000000","0.609717","2","2"
"2","3322","332","1.000000","1.503677","2","2"
"3","1525","152","1.000000","-1.411935","2","2"
"4","4182","418","1.000000","-0.355745","2","2"
"5","3419","341","1.000000","-0.051368","2","2"
"6","1313","131","1.000000","0.972457","2","2"
"7","4051","405","1.000000","-0.137902","2","2"
"1","1885","188","1.000000","1.296419","2","3"
"2","3322","332","1.000000","0.716984","2","3"
"3","1525","152","1.000000","2.122445","2","3"
"4","4182","418","1.000000","0.682807","2","3"
"5","3419","341","1.000000","0.962615","2","3"
"6","1313","131","1.000000","0.773546","2","3"
"7","4051","405","1.000000","0.805634","2","3"
"1","1885","188","1.000000","-0.331055","3","1"
"2","3322","332","1.000000","-0.548253","3","1"
"3","1525","152","1.000000","-1.212343","3","1"
"4","4182","418","1.000000","-0.739235","3","1"
"5","3419","341","1.000000","-1.211479","3","1"
"6","1313","131","1.000000","-0.893929","3","1"
"7","4051","405","1.000000","-0.260569","3","1"
"1","1885","188","1.000000","-0.576915","3","2"
"2","3322","332","1.000000","-1.207285","3","2"
"3","1525","152","1.000000","-1.609015","3","2"
"4","4182","418","1.000000","-0.882549","3","2"
"5","3419","341","1.000000","-1.627112","3","2"
"6","1313","131","1.000000","-1.415186","3","2"
"7","4051","405","1.000000","-0.462900","3","2"
"1","1885","188","1.000000","0.245860","3","3"
"2","3322","332","1.000000","0.659031","3","3"
"3","1525","152","1.000000","0.396673","3","3"
"4","4182","418","1.000000","0.143314","3","3"
"5","3419","341","1.000000","0.415633","3","3"
"6","1313","131","1.000000","0.521257","3","3"
"7","4051","405","1.000000","0.202330","3","3"
"1","1885","188","1.000000","0.021685","4","1"
"2","3322","332","1.000000","0.223514","4","1"
"3","1525","152","1.000000","-0.544604","4","1"
"4","4182","418","1.000000","0.316960","4","1"
"5","3419","341","1.000000","0.050120","4","1"
"6","1313","131","1.000000","-0.560817","4","1"
"7","4051","405","1.000000","0.268408","4","1"
"1","1885","188","1.000000","-0.670543","4","2"
"2","3322","332","1.000000","-0.123009","4","2"
"3","1525","152","1.000000","-0.921606","4","2"
"4","4182","418","1.000000","0.027477","4","2"
"5","3419","341","1.000000","-0.249078","4","2"
"6","1313","131","1.000000","-0.647060","4","2"
"7","4051","405","1.000000","0.181047","4","2"
"1","1885","188","1.000000","0.692228","4","3"
