"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method","pipeline"
"1","2948","50","1.000000","4.428958","1","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","2.082636","1","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","1.831313","1","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","1.780462","1","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","2.347835","1","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","1.783014","1","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","4.206629","1","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","2.026464","1","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","1.617081","1","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","1.900205","1","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","2.320408","1","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","1.664237","1","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","0.222329","1","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","0.056172","1","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","0.214232","1","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","-0.119743","1","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","0.027427","1","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","0.118777","1","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","0.857182","2","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","0.997401","2","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","0.904156","2","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","0.757092","2","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","0.691885","2","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","1.123618","2","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","0.680004","2","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","0.719604","2","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","0.727136","2","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","0.379982","2","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","0.602587","2","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","0.679229","2","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","0.177178","2","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","0.277797","2","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","0.177020","2","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","0.377109","2","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","0.089298","2","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","0.444389","2","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","1.159838","3","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
