Contrast name:,Group (med)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],
,0.000000,1.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,50,1.000000,1.175936,0.163338,7.199408,20.000000,0.000000,0.000001
2,1399,50,1.000000,0.945410,0.160961,5.873543,20.000000,0.000005,0.000011
3,4863,50,1.000000,1.062661,0.232205,4.576388,20.000000,0.000092,0.000150
4,5104,50,1.000000,0.427111,0.131195,3.255531,20.000000,0.001980,0.002376
5,888,50,1.000000,0.170707,0.163130,1.046446,20.000000,0.153919,0.153919
6,1015,50,1.000000,0.122025,0.100359,1.215883,20.000000,0.119093,0.126099
7,3526,50,1.000000,1.433915,0.179925,7.969524,20.000000,0.000000,0.000001
8,3381,50,1.000000,0.822802,0.139424,5.901444,20.000000,0.000004,0.000011
9,1858,50,1.000000,0.867993,0.152725,5.683360,20.000000,0.000007,0.000015
10,1770,50,1.000000,0.608443,0.120876,5.033628,20.000000,0.000032,0.000057
11,2147,50,1.000000,1.345072,0.180642,7.446077,20.000000,0.000000,0.000001
12,2371,50,1.000000,1.179410,0.157223,7.501507,20.000000,0.000000,0.000001
13,2447,50,1.000000,0.641263,0.105032,6.105383,20.000000,0.000003,0.000009
14,1345,50,1.000000,0.137517,0.096480,1.425342,20.000000,0.084740,0.095332
15,2065,50,1.000000,1.261226,0.202469,6.229220,20.000000,0.000002,0.000008
16,2222,50,1.000000,0.507977,0.143009,3.552063,20.000000,0.000999,0.001285
17,1615,50,1.000000,0.559700,0.127341,4.395287,20.000000,0.000140,0.000209
18,1958,50,1.000000,0.529550,0.133805,3.957635,20.000000,0.000388,0.000538
