Data
ROI#,average ROI size,average localizer mask size,inter-subject overlap,Subject#1[1],Subject#1[2],Subject#1[3],Subject#2[1],Subject#2[2],Subject#2[3],Subject#3[1],Subject#3[2],Subject#3[3],Subject#4[1],Subject#4[2],Subject#4[3],Subject#5[1],Subject#5[2],Subject#5[3],Subject#6[1],Subject#6[2],Subject#6[3],Subject#7[1],Subject#7[2],Subject#7[3],Subject#8[1],Subject#8[2],Subject#8[3],Subject#9[1],Subject#9[2],Subject#9[3],Subject#10[1],Subject#10[2],Subject#10[3],Subject#11[1],Subject#11[2],Subject#11[3],Subject#12[1],Subject#12[2],Subject#12[3],Subject#13[1],Subject#13[2],Subject#13[3],Subject#14[1],Subject#14[2],Subject#14[3],Subject#15[1],Subject#15[2],Subject#15[3],Subject#16[1],Subject#16[2],Subject#16[3],Subject#17[1],Subject#17[2],Subject#17[3],Subject#18[1],Subject#18[2],Subject#18[3],Subject#19[1],Subject#19[2],Subject#19[3],Subject#20[1],Subject#20[2],Subject#20[3],Subject#21[1],Subject#21[2],Subject#21[3]
1,2948,50,1.000000,0.873689,0.450593,0.423096,0.883710,0.586715,0.296995,0.135863,0.118484,0.017380,0.579536,0.105666,0.473870,0.010660,-0.036995,0.047655,0.771778,0.511354,0.260424,0.553003,0.527687,0.025316,1.187912,1.276030,-0.088119,0.818706,0.748496,0.070209,0.351702,0.639792,-0.288089,0.905502,0.849050,0.056452,0.019118,0.116956,-0.097839,0.557774,0.573883,-0.016110,0.224579,-0.155648,0.380227,-0.158768,-0.201343,0.042575,0.299769,0.115141,0.184628,0.315782,0.419998,-0.104216,0.543003,0.532466,0.010537,0.274199,0.195471,0.078728,0.173016,0.036046,0.136970,-0.205529,-0.233460,0.027931
2,1627,50,1.000000,1.115234,1.019884,0.095350,0.564157,0.298293,0.265864,0.277475,0.179483,0.097992,0.408136,0.247084,0.161052,1.271361,1.159166,0.112195,1.109555,0.866309,0.243246,0.357880,0.510136,-0.152256,0.862451,0.891297,-0.028846,0.719206,0.810406,-0.091201,0.122790,0.355421,-0.232631,0.225417,0.181506,0.043910,0.130631,0.201222,-0.070591,0.606121,0.478437,0.127684,0.760386,0.244433,0.515953,0.324953,0.383903,-0.058950,1.071516,0.755748,0.315768,0.548112,0.572630,-0.024518,0.888152,0.862908,0.025245,0.476622,0.453537,0.023085,0.260873,0.080752,0.180121,0.521857,0.107199,0.414659
3,644,50,1.000000,0.496417,-0.005383,0.501801,-0.425131,-0.186163,-0.238968,0.050261,-0.034470,0.084731,-0.245678,-0.625064,0.379386,-0.383524,-0.650403,0.266879,0.638003,0.288341,0.349662,0.175094,0.184403,-0.009309,0.128750,0.197866,-0.069116,-0.048668,-0.031017,-0.017652,-0.008233,0.181288,-0.189521,-0.257052,-0.249560,-0.007492,-0.524617,-0.449616,-0.075001,0.270058,0.071327,0.198732,0.223822,0.068846,0.154976,-0.221872,-0.112537,-0.109335,0.147219,-0.012546,0.159765,1.172578,1.016085,0.156493,0.056767,0.022107,0.034659,0.284544,0.138644,0.145900,0.012470,-0.077113,0.089583,0.036459,-0.077081,0.113540
4,743,50,1.000000,1.221590,0.823039,0.398551,0.445077,0.439377,0.005700,0.971792,0.920542,0.051251,0.811388,0.311555,0.499833,0.166419,0.334375,-0.167955,1.223153,0.808663,0.414490,0.468873,0.724997,-0.256125,1.036880,1.217917,-0.181036,1.331933,1.550044,-0.218111,0.072823,-0.104479,0.177301,0.646228,0.521530,0.124698,0.266487,0.253326,0.013161,1.508859,1.557592,-0.048733,0.518832,0.186458,0.332375,0.655970,0.477196,0.178774,0.096360,-0.088105,0.184465,0.605997,0.602089,0.003908,0.446246,0.530322,-0.084077,0.358757,0.102089,0.256668,0.232102,0.154263,0.077839,0.531243,0.387404,0.143839
5,462,50,1.000000,0.465335,0.165108,0.300227,0.077411,0.065158,0.012253,0.875575,0.637296,0.238279,-0.012186,-0.216749,0.204563,-0.416387,-0.219174,-0.197213,1.121339,0.725753,0.395586,0.746711,0.728458,0.018254,1.084139,1.269414,-0.185275,0.290856,0.330986,-0.040129,0.540074,0.632767,-0.092693,0.577116,0.405482,0.171633,0.128092,0.180946,-0.052854,1.137714,1.184163,-0.046449,-0.002060,-0.008315,0.006254,-0.035263,-0.134106,0.098843,0.312702,0.195928,0.116774,1.080024,1.095627,-0.015603,0.096490,0.152381,-0.055891,0.722874,0.145443,0.577430,0.111961,-0.072816,0.184777,0.054019,-0.075706,0.129724
6,370,50,1.000000,1.668338,1.070481,0.597857,1.469706,0.586701,0.883005,1.060694,0.832977,0.227717,1.428665,0.471585,0.957080,0.400860,0.537221,-0.136361,0.816697,0.381958,0.434740,0.962915,0.933895,0.029021,0.680494,0.561855,0.118640,2.619853,2.619514,0.000339,0.746937,0.613941,0.132995,0.992784,0.956870,0.035914,0.374678,0.276605,0.098073,1.880147,2.118817,-0.238670,0.393814,-0.220874,0.614688,-0.358665,-0.797059,0.438394,0.957863,0.625514,0.332349,0.622737,0.579904,0.042833,0.744377,0.758196,-0.013819,0.337297,0.164066,0.173231,1.189599,0.484893,0.704707,0.919355,0.382888,0.536467

Weights
ROI#,Subject#1,Subject#2,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,Subject#8,Subject#9,Subject#10,Subject#11,Subject#12,Subject#13,Subject#14,Subject#15,Subject#16,Subject#17,Subject#18,Subject#19,Subject#20,Subject#21
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000

quality control (localizer mask sizes)
Subject#,Session/Partition#,filename,ROI#1,ROI#2,ROI#3,ROI#4,ROI#5,ROI#6
1,1,/mindhive/evlab/u/Shared/SUBJECTS/168_FED_20160107b_3T2/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
2,1,/mindhive/evlab/u/Shared/SUBJECTS/288_FED_20170412b_3T2/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
3,1,/mindhive/evlab/u/Shared/SUBJECTS/290_FED_20170426a_3T2/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
4,1,/mindhive/evlab/u/Shared/SUBJECTS/301_FED_20150708c_3T2/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
5,1,/mindhive/evlab/u/Shared/SUBJECTS/334_FED_20151119a_3T2/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
6,1,/mindhive/evlab/u/Shared/SUBJECTS/343_FED_20160107a_3T2/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
7,1,/mindhive/evlab/u/Shared/SUBJECTS/366_FED_20161103a_3T1/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
8,1,/mindhive/evlab/u/Shared/SUBJECTS/424_FED_20161102b_3T1/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
9,1,/mindhive/evlab/u/Shared/SUBJECTS/426_FED_20160908d_3T1/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
10,1,/mindhive/evlab/u/Shared/SUBJECTS/430_FED_20170426d_3T2/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
11,1,/mindhive/evlab/u/Shared/SUBJECTS/473_FED_20161102a_3T1/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
12,1,/mindhive/evlab/u/Shared/SUBJECTS/498_FED_20161121a_3T1/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
13,1,/mindhive/evlab/u/Shared/SUBJECTS/520_FED_20161227a_3T2/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
14,1,/mindhive/evlab/u/Shared/SUBJECTS/521_FED_20161228a_3T2/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
15,1,/mindhive/evlab/u/Shared/SUBJECTS/551_FED_20170412a_3T2/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
16,1,/mindhive/evlab/u/Shared/SUBJECTS/555_FED_20170426c_3T2/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
17,1,/mindhive/evlab/u/Shared/SUBJECTS/571_FED_20170412c_3T2/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
18,1,/mindhive/evlab/u/Shared/SUBJECTS/576_FED_20170414b_3T2/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
19,1,/mindhive/evlab/u/Shared/SUBJECTS/577_FED_20170414c_3T2/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
20,1,/mindhive/evlab/u/Shared/SUBJECTS/578_FED_20170414d_3T2/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
21,1,/mindhive/evlab/u/Shared/SUBJECTS/596_FED_20170426b_3T2/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
