"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method"
"1","1038","103","1.000000","0.083214","1","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","1399","139","1.000000","0.492869","1","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","4863","486","1.000000","0.171754","1","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","5104","510","1.000000","-0.143264","1","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","888","88","1.000000","-1.150781","1","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1015","101","1.000000","-0.702162","1","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","3526","352","1.000000","0.209623","1","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"8","3381","338","1.000000","0.284874","1","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"9","1858","185","1.000000","0.238446","1","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"10","1770","177","1.000000","0.372871","1","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"11","2147","214","1.000000","0.339903","1","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"12","2371","237","1.000000","0.530484","1","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"13","2447","244","1.000000","0.225092","1","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"14","1345","134","1.000000","0.348160","1","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"15","2065","206","1.000000","0.119472","1","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"16","2222","222","1.000000","0.457636","1","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"17","1615","161","1.000000","0.179233","1","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"18","1958","195","1.000000","0.340110","1","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1038","103","1.000000","0.280664","1","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","1399","139","1.000000","0.750663","1","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","4863","486","1.000000","0.615207","1","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","5104","510","1.000000","0.231703","1","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","888","88","1.000000","-0.377353","1","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1015","101","1.000000","0.087281","1","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","3526","352","1.000000","0.377383","1","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"8","3381","338","1.000000","0.416455","1","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"9","1858","185","1.000000","0.220019","1","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"10","1770","177","1.000000","0.319127","1","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"11","2147","214","1.000000","0.270932","1","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"12","2371","237","1.000000","0.658355","1","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"13","2447","244","1.000000","0.277793","1","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"14","1345","134","1.000000","0.629174","1","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"15","2065","206","1.000000","0.501297","1","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"16","2222","222","1.000000","0.920894","1","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"17","1615","161","1.000000","0.747063","1","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"18","1958","195","1.000000","0.479107","1","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1038","103","1.000000","0.053977","2","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","1399","139","1.000000","0.241610","2","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","4863","486","1.000000","0.229904","2","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","5104","510","1.000000","0.223394","2","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","888","88","1.000000","-0.000094","2","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1015","101","1.000000","0.079462","2","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","3526","352","1.000000","0.099805","2","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"8","3381","338","1.000000","0.238546","2","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"9","1858","185","1.000000","0.195710","2","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"10","1770","177","1.000000","0.180147","2","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"11","2147","214","1.000000","0.230766","2","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"12","2371","237","1.000000","0.207824","2","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"13","2447","244","1.000000","0.174009","2","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"14","1345","134","1.000000","0.376137","2","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"15","2065","206","1.000000","0.122264","2","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"16","2222","222","1.000000","0.281977","2","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"17","1615","161","1.000000","0.198604","2","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"18","1958","195","1.000000","0.211984","2","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1038","103","1.000000","0.144519","2","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","1399","139","1.000000","0.179814","2","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","4863","486","1.000000","0.098053","2","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","5104","510","1.000000","-0.089496","2","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","888","88","1.000000","-0.059016","2","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1015","101","1.000000","0.016987","2","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","3526","352","1.000000","0.299119","2","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"8","3381","338","1.000000","0.208898","2","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"9","1858","185","1.000000","0.123376","2","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"10","1770","177","1.000000","0.059198","2","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"11","2147","214","1.000000","0.203162","2","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"12","2371","237","1.000000","0.092329","2","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"13","2447","244","1.000000","0.124310","2","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"14","1345","134","1.000000","0.299006","2","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"15","2065","206","1.000000","0.054819","2","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"16","2222","222","1.000000","0.069345","2","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"17","1615","161","1.000000","0.117610","2","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"18","1958","195","1.000000","0.113819","2","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1038","103","1.000000","0.831276","3","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","1399","139","1.000000","0.494414","3","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","4863","486","1.000000","1.004145","3","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","5104","510","1.000000","0.904221","3","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","888","88","1.000000","0.888817","3","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1015","101","1.000000","0.411460","3","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","3526","352","1.000000","0.456820","3","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"8","3381","338","1.000000","0.215096","3","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"9","1858","185","1.000000","0.372289","3","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"10","1770","177","1.000000","0.293334","3","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"11","2147","214","1.000000","0.623359","3","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"12","2371","237","1.000000","0.515615","3","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"13","2447","244","1.000000","0.525215","3","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"14","1345","134","1.000000","0.417252","3","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"15","2065","206","1.000000","0.518928","3","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"16","2222","222","1.000000","0.519195","3","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"17","1615","161","1.000000","0.656778","3","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"18","1958","195","1.000000","0.265639","3","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1038","103","1.000000","0.675256","3","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","1399","139","1.000000","0.654435","3","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","4863","486","1.000000","1.234416","3","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","5104","510","1.000000","1.596972","3","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","888","88","1.000000","0.603702","3","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1015","101","1.000000","0.645976","3","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","3526","352","1.000000","0.348068","3","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"8","3381","338","1.000000","0.272359","3","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"9","1858","185","1.000000","0.631407","3","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"10","1770","177","1.000000","0.914193","3","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"11","2147","214","1.000000","0.779156","3","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"12","2371","237","1.000000","0.676122","3","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"13","2447","244","1.000000","0.584583","3","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"14","1345","134","1.000000","0.908708","3","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
