Contrast name:,Group (EVEN_joke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],
,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.248774,0.063247,3.933380,20.000000,0.000411,0.001233
2,1399,139,1.000000,0.150366,0.079492,1.891589,20.000000,0.036559,0.038709
3,4863,486,1.000000,0.405748,0.106276,3.817864,20.000000,0.000538,0.001384
4,5104,510,1.000000,0.194964,0.086229,2.261013,20.000000,0.017530,0.019722
5,888,88,1.000000,0.248437,0.074377,3.340225,20.000000,0.001630,0.002935
6,1015,101,1.000000,0.129368,0.048390,2.673468,20.000000,0.007300,0.009386
7,3526,352,1.000000,0.290531,0.071526,4.061906,20.000000,0.000304,0.001096
8,3381,338,1.000000,0.150656,0.061913,2.433342,20.000000,0.012233,0.014679
9,1858,185,1.000000,0.262261,0.064544,4.063291,20.000000,0.000303,0.001096
10,1770,177,1.000000,0.120428,0.074170,1.623681,20.000000,0.060050,0.060050
11,2147,214,1.000000,0.350326,0.083188,4.211245,20.000000,0.000215,0.001096
12,2371,237,1.000000,0.254356,0.068697,3.702586,20.000000,0.000704,0.001409
13,2447,244,1.000000,0.247845,0.036105,6.864655,20.000000,0.000001,0.000010
14,1345,134,1.000000,0.199528,0.064533,3.091858,20.000000,0.002875,0.004705
15,2065,206,1.000000,0.235951,0.053901,4.377500,20.000000,0.000146,0.001096
16,2222,222,1.000000,0.218012,0.075908,2.872050,20.000000,0.004712,0.006524
17,1615,161,1.000000,0.327469,0.088373,3.705524,20.000000,0.000700,0.001409
18,1958,195,1.000000,0.173020,0.059902,2.888394,20.000000,0.004543,0.006524
