Critical (Jokes) Scan SessionID,Evlab #,ToMLoc Session,Cloudy Session,Pass localizer for analysis? ,Reason
168_FED_20161228b_3T2,168,KAN_evDB_20141020b,FED_20160204a_3T2,exclude,we thought they did Cloudy already but they did a different ISCMEGA instead
288_FED_20170412b_3T2,288,FED_20160411a_3T1,5,,
290_FED_20170426a_3T2,290,FED_20170109b_3T2,NA,exclude,very familiar familiar with cartoon (EXB)
301_FED_20161217b_3T2,301,FED_20150708c_3T2,FED_20160121b_3T2,,
334_FED_20161221a_3T2,334,FED_20160204c_3T2,7,,
343_FED_20161208a_3T2,343,FED_20160204b_3T2,9,,
366_FED_20161205a_3T2,366,FED_20161103a_3T1,FED_20161103a_3T1,,
417_FED_20161217c_3T2,417,FED_20161104c_3T2,11,exclude,Excluded participant (EX1)
424_FED_20161228c_3T2,424,FED_20161102b_3T1,10,,
426_FED_20161215c_3T2,426,FED_20161107c_3T2,14,,
430_FED_20170426d_3T2,430,FED_20170110b_3T2,7,,
473_FED_20170210b_3T2,473,4,x,exclude,forgot to run/out of time (EXB)
498_FED_20170210c_3T2,498,7 13,x,exclude,forgot to run/out of time (EXB)
520_FED_20161227a_3T2,520,2,8,,
521_FED_20161228a_3T2,521,2 9,7,,
551_FED_20170412a_3T2,551,4 5,6,,
555_FED_20170426c_3T2,555,4 5,9,,
571_FED_20170412c_3T2,571,7 8,6,,
576_FED_20170414b_3T2,576,6 9,7,,
577_FED_20170414c_3T2,577,5 6,7,,
578_FED_20170414d_3T2,578,5 6,8,exclude,fell asleep during this scan (EXB)
596_FED_20170426b_3T2,596,5,7,,
