ID,Session ID,Run number,para,list,run,counter,
366_FED_20161205a_3T2,FED_20161205a_3T2,1,4,1,1,4,"NOT USED, RUN TOO SHORT"
366_FED_20161205a_3T2,FED_20161205a_3T2,2,2,1,2,2,
366_FED_20161205a_3T2,FED_20161205a_3T2,3,1,1,3,1,
343_FED_20161208a_3T2,FED_20161208a_3T2,1,3,2,1,3,
343_FED_20161208a_3T2,FED_20161208a_3T2,2,5,2,2,5,
343_FED_20161208a_3T2,FED_20161208a_3T2,3,2,2,3,2,
426_FED_20161215c_3T2,FED_20161215c_3T2,1,5,1,1,5,
426_FED_20161215c_3T2,FED_20161215c_3T2,3,1,1,3,1,
301_FED_20161217b_3T2,FED_20161217b_3T2,1,4,1,1,4,
301_FED_20161217b_3T2,FED_20161217b_3T2,2,3,2,2,3,
301_FED_20161217b_3T2,FED_20161217b_3T2,3,1,1,3,1,
417_FED_20161217c_3T2,FED_20161217c_3T2,1,3,1,1,3,
417_FED_20161217c_3T2,FED_20161217c_3T2,2,1,2,2,1,
334_FED_20161221a_3T2,FED_20161221a_3T2,1,4,2,1,4,
334_FED_20161221a_3T2,FED_20161221a_3T2,2,3,1,2,3,
334_FED_20161221a_3T2,FED_20161221a_3T2,3,1,2,3,1,
520_FED_20161227a_3T2,FED_20161227a_3T2,1,1,2,1,1,
520_FED_20161227a_3T2,FED_20161227a_3T2,2,3,1,2,3,
521_FED_20161228a_3T2,FED_20161228a_3T2,1,1,1,1,1,
521_FED_20161228a_3T2,FED_20161228a_3T2,2,3,2,2,3,
168_FED_20161228b_3T2,FED_20161228b_3T2,1,2,1,1,2,
168_FED_20161228b_3T2,FED_20161228b_3T2,2,1,2,2,1,
168_FED_20161228b_3T2,FED_20161228b_3T2,3,2,1,3,2,
424_FED_20161228c_3T2,FED_20161228c_3T2,1,1,1,1,1,
424_FED_20161228c_3T2,FED_20161228c_3T2,2,3,2,2,3,
473_FED_20170210b_3T2,FED_20170210b_3T2,1,4,1,1,4,
473_FED_20170210b_3T2,FED_20170210b_3T2,2,2,2,2,2,
498_FED_20170210c_3T2,FED_20170210c_3T2,1,3,2,1,3,
498_FED_20170210c_3T2,FED_20170210c_3T2,2,2,1,2,2,
551_FED_20170412a_3T2,FED_20170412a_3T2,1,1,2,2,1,
551_FED_20170412a_3T2,FED_20170412a_3T2,2,3,1,3,3,
288_FED_20170412b_3T2,FED_20170412b_3T2,1,3,1,1,3,
288_FED_20170412b_3T2,FED_20170412b_3T2,2,2,2,2,2,
288_FED_20170412b_3T2,FED_20170412b_3T2,3,1,1,3,1,
571_FED_20170412c_3T2,FED_20170412c_3T2,1,4,2,1,4,
571_FED_20170412c_3T2,FED_20170412c_3T2,2,3,1,2,3,
571_FED_20170412c_3T2,FED_20170412c_3T2,3,1,2,3,1,
576_FED_20170414b_3T2,FED_20170414b_3T2,1,1,2,1,1,
576_FED_20170414b_3T2,FED_20170414b_3T2,2,5,1,2,5,
576_FED_20170414b_3T2,FED_20170414b_3T2,3,2,2,3,2,
577_FED_20170414c_3T2,FED_20170414c_3T2,1,3,2,1,3,
577_FED_20170414c_3T2,FED_20170414c_3T2,2,4,1,2,4,
577_FED_20170414c_3T2,FED_20170414c_3T2,3,5,2,3,5,
578_FED_20170414d_3T2,FED_20170414d_3T2,1,5,1,1,5,
578_FED_20170414d_3T2,FED_20170414d_3T2,2,2,2,2,2,
578_FED_20170414d_3T2,FED_20170414d_3T2,3,1,1,3,1,
290_FED_20170426a_3T2,FED_20170426a_3T2,1,1,2,1,1,
290_FED_20170426a_3T2,FED_20170426a_3T2,2,3,1,2,3,
290_FED_20170426a_3T2,FED_20170426a_3T2,3,4,2,3,4,
596_FED_20170426b_3T2,FED_20170426b_3T2,1,2,1,1,2,
596_FED_20170426b_3T2,FED_20170426b_3T2,2,5,2,2,5,
596_FED_20170426b_3T2,FED_20170426b_3T2,3,1,1,3,1,
555_FED_20170426c_3T2,FED_20170426c_3T2,1,1,1,1,1,
555_FED_20170426c_3T2,FED_20170426c_3T2,2,3,2,2,3,
555_FED_20170426c_3T2,FED_20170426c_3T2,3,4,1,3,4,
430_FED_20170426d_3T2,FED_20170426d_3T2,1,4,2,1,4,
430_FED_20170426d_3T2,FED_20170426d_3T2,2,2,1,2,2,
430_FED_20170426d_3T2,FED_20170426d_3T2,3,3,2,3,3,
