Contrast name:,Group (jokelitjoke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[2;1],c[2;2],c[2;3],c[3;1],c[3;2],c[3;3],
,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],h[1;3],stderr[1;1],stderr[1;2],stderr[1;3],T/F,dof,p,p-fdr
1,1038,103,1.000000,1.020193,0.841867,0.178326,0.147789,0.133017,0.047772,14.426886,18.000000,0.000049,0.000133
2,1399,139,1.000000,0.722618,0.591446,0.131172,0.129645,0.108368,0.053617,9.561700,18.000000,0.000536,0.000965
3,4863,486,1.000000,0.506429,0.176887,0.329542,0.129816,0.128774,0.067543,9.263834,18.000000,0.000635,0.001038
4,5104,510,1.000000,0.247182,0.076488,0.170694,0.103997,0.117843,0.061927,3.754253,18.000000,0.029629,0.033333
5,888,88,1.000000,0.155794,-0.023843,0.179637,0.094135,0.090085,0.075998,1.802459,18.000000,0.182825,0.182825
6,1015,101,1.000000,0.155240,0.087274,0.067966,0.071800,0.096281,0.054983,2.123111,18.000000,0.132926,0.140746
7,3526,352,1.000000,1.257315,1.053566,0.203749,0.155762,0.147562,0.046648,20.604023,18.000000,0.000005,0.000021
8,3381,338,1.000000,0.597778,0.495077,0.102701,0.109030,0.101952,0.043759,9.069978,18.000000,0.000709,0.001064
9,1858,185,1.000000,0.732843,0.494999,0.237844,0.088093,0.077034,0.044464,21.435911,18.000000,0.000004,0.000021
10,1770,177,1.000000,0.520699,0.401647,0.119052,0.083897,0.078121,0.040927,11.661811,18.000000,0.000177,0.000354
11,2147,214,1.000000,1.141833,0.813979,0.327854,0.123499,0.123942,0.058189,29.580681,18.000000,0.000000,0.000006
12,2371,237,1.000000,0.903917,0.683658,0.220259,0.120060,0.128994,0.053519,21.214422,18.000000,0.000004,0.000021
13,2447,244,1.000000,0.501677,0.281316,0.220361,0.088407,0.077334,0.033412,15.312998,18.000000,0.000034,0.000122
14,1345,134,1.000000,0.100116,-0.073130,0.173245,0.089161,0.083188,0.044333,4.626035,18.000000,0.014401,0.017281
15,2065,206,1.000000,0.932883,0.753640,0.179242,0.147397,0.138987,0.037545,14.302725,18.000000,0.000052,0.000133
16,2222,222,1.000000,0.368475,0.192450,0.176024,0.083698,0.070800,0.045966,6.733597,18.000000,0.003060,0.003934
17,1615,161,1.000000,0.378768,0.088338,0.290430,0.097616,0.098691,0.051144,11.685029,18.000000,0.000175,0.000354
18,1958,195,1.000000,0.337944,0.176306,0.161637,0.087725,0.087311,0.036232,8.583230,18.000000,0.000944,0.001307
