Contrast name:,Group (low)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],
,1.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,50,1.000000,0.854742,0.137738,6.205561,20.000000,0.000002,0.000014
2,1399,50,1.000000,0.602484,0.131797,4.571317,20.000000,0.000093,0.000185
3,4863,50,1.000000,0.470264,0.175937,2.672909,20.000000,0.007309,0.011960
4,5104,50,1.000000,0.162545,0.170820,0.951559,20.000000,0.176340,0.211608
5,888,50,1.000000,-0.008335,0.096340,-0.086521,20.000000,0.534044,0.565458
6,1015,50,1.000000,0.043120,0.110411,0.390539,20.000000,0.350133,0.393900
7,3526,50,1.000000,1.084011,0.161168,6.725963,20.000000,0.000001,0.000014
8,3381,50,1.000000,0.606302,0.118765,5.105067,20.000000,0.000027,0.000065
9,1858,50,1.000000,0.584670,0.092242,6.338450,20.000000,0.000002,0.000014
10,1770,50,1.000000,0.506578,0.099795,5.076165,20.000000,0.000029,0.000065
11,2147,50,1.000000,0.822807,0.150084,5.482329,20.000000,0.000011,0.000052
12,2371,50,1.000000,0.794626,0.153753,5.168204,20.000000,0.000023,0.000065
13,2447,50,1.000000,0.317094,0.088226,3.594097,20.000000,0.000907,0.001632
14,1345,50,1.000000,-0.100956,0.101101,-0.998564,20.000000,0.835033,0.835033
15,2065,50,1.000000,0.947946,0.186543,5.081656,20.000000,0.000028,0.000065
16,2222,50,1.000000,0.211721,0.117918,1.795495,20.000000,0.043851,0.060716
17,1615,50,1.000000,0.180025,0.113900,1.580550,20.000000,0.064834,0.083357
18,1958,50,1.000000,0.291613,0.120884,2.412331,20.000000,0.012788,0.019182
