"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method"
"1","1885","188","1.000000","-0.030245","1","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","0.139117","1","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","0.258050","1","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.209385","1","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","0.265836","1","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","0.780807","1","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","0.187354","1","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","1.025491","1","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","0.510060","1","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","1.865533","1","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.760690","1","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","0.883682","1","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","1.739350","1","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","0.502061","1","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","0.102526","2","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","0.141256","2","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","-0.027048","2","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.196031","2","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","0.183080","2","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","-0.002866","2","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","0.166669","2","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","0.291449","2","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","0.204072","2","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","0.122609","2","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.133887","2","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","0.141321","2","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","0.066685","2","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","0.077572","2","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","2.049250","3","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","0.887141","3","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","2.149777","3","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.432492","3","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","0.605370","3","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","0.807204","3","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","0.441057","3","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","1.955032","3","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","0.636091","3","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","2.153350","3","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.627969","3","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","1.102413","3","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","0.773940","3","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","0.630447","3","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","0.015877","4","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","-0.207750","4","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","0.254279","4","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.037877","4","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","-0.074070","4","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","-0.067800","4","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","-0.167405","4","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","0.665616","4","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","0.436335","4","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","0.605156","4","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.378425","4","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","0.262085","4","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","0.239392","4","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","0.137772","4","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","0.400327","5","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","0.083218","5","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","-0.184716","5","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.073756","5","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","-0.171767","5","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","-0.172704","5","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","-0.012483","5","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","0.167742","5","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","0.614484","5","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","-0.036883","5","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.229984","5","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
